Attractie;Tijd (s);Bron
;;
Ingang;0;wiki
JorisendeDraak;130;wiki
Baron1898;360;wiki
Droomvlucht;3600;youtube
DeVliegendeHollander;223;wiki
Pirana;300;wiki
Python;128;wiki
CarnavalFestival;480;wiki
Stoomcarrousel;120;youtube
FataMorgana;480;wiki
Kleuterhof;1200;schatting
VogelRok;101;wiki
VillaVolta;600;wiki
Bobbaan;130;wiki
HalveMaen;1500;schatting
OudeTuffer;180;wiki
PandaDroom;332;wiki
MonsieurCannibale;1800;wiki
Pagode;420;wiki
Kinderspoor;140;youtube
Gondoletta;310;wiki
KinderAvonturendoolhof;600;schatting
PolkaMarina;180;schatting
Spookslot;1200;wiki
Diorama;600;youtube/schatting
Stoomtrein(Ruigrijk);1200;youtube/schatting
Stoomtrein(Marerijk);150;wiki