Attractie;Tijd (s);Bron;Capaciteit (pers/uur);
;;;;
JorisendeDraak;120;wiki;1750;
Baron1898;130;wiki;1000;
Droomvlucht;360;wiki;1800;
DeVliegendeHollander;223;wiki;1900;
Pirana;300;wiki;2000;
Python;128;wiki;1440;
CarnavalFestival;480;wiki;1600;
Stoomcarrousel;120;youtube;400;
FataMorgana;480;wiki;1800;
Kleuterhof;900;schatting;240;schatting: 20 speeltoestellen, gemiddeld 3 kinderen per toestel -> 60 kinderen in 15 min
VogelRok;101;wiki;1600;
VillaVolta;600;wiki;1900;
Bobbaan;130;wiki;880;
HalveMaen;180;wiki;1200;
OudeTuffer;332;wiki;1200;
PandaDroom;1800;wiki;1200;
MonsieurCannibale;140;youtube;1000;
Pagode;310;wiki;720;
Kinderspoor;300;schatting;504;berekening: 21 treintjes met 2 per treintje, 500m baanlengte en 6km/u
Gondoletta;1200;wiki;1080;
KinderAvonturendoolhof;600;youtube/schatting;420;schatting (70tal pers per keer)
PolkaMarina;150;wiki;700;
Spookslot;900;wiki;1000;
Diorama;300;youtube;600;schatting (50tal pers per keer)
Stoomtrein(Ruigrijk);900;wiki;1440;berekening: 18 rijtuigen met 18 pers per rijtuig
Stoomtrein(Marerijk);900;;1440;